NC_001422.1 Enterobacteria phage phiX174 sensu lato, complete genome
cid|138336 Blastococcus_saxobsidens 4875340 1
cid|288 Pseudoalteromonas_atlantica 5187005 1
cid|37326 Nocardia_brasiliensis 9436348 1
cid|1702221 Faecalibaculum_rodentium 2542486 1
cid|44001 Caldicellulosiruptor_saccharolyticus 2970275 1
cid|1292 Staphylococcus_warneri 2560716 1
cid|93220 Pandoraea_pnomenusa 11008666 2
cid|271065 Methylomicrobium_alcaliphilum 4796711 1
cid|1814 Amycolatopsis_methanolica 7237391 1
cid|29438 Pseudomonas_savastanoi 6112448 1
cid|1309 Streptococcus_mutans 2017559 6
cid|265606 Rhodopirellula_baltica 7145576 1
cid|1390 Bacillus_amyloliquefaciens 5608910 12
cid|1484158 Pantoea_sp._PSNIH1 4410683 1
cid|35623 Acholeplasma_oculi 1587120 1
cid|42817 Corynebacterium_argentoratense 2031902 1
cid|33992 Rickettsia_rhipicephali 1377049 2
cid|1216932 Clostridium_bornimense 3617025 1
cid|76123 Prevotella_enoeca 2861432 1
cid|1501269 Prochlorococcus_sp._MIT_0801 1929203 1
cid|58138 Desulfotomaculum_acetoxidans 4545624 1
cid|1177712 Komagataeibacter_medellinensis 3513191 1
cid|2423 Fervidobacterium_islandicum 2237377 1
cid|1907 Streptomyces_glaucescens 7623774 1
cid|1707785 Massilia_sp._WG5 6267305 1
cid|51665 Aerococcus_urinaeequi 4067667 1
cid|1771 Mycobacterium_phlei 5349645 1
cid|35701 Heliobacterium_modesticaldum 3075407 1
cid|29471 Pectobacterium_atrosepticum 7546597 2
cid|198107 Azoarcus_sp._CIB 5257030 1
cid|51197 Syntrophobotulus_glycolicus 3406739 1
cid|28151 Serratia_proteamaculans 5495657 1
cid|28091 Neisseria_weaveri 2188497 1
cid|1465 Brevibacillus_laterosporus 5153859 1
cid|42838 Ammonifex_degensii 2157067 1
cid|51663 Pediococcus_damnosus 11570178 1
cid|1404 Bacillus_megaterium 5334474 5
cid|91915 Asaia_bogorensis 3198265 1
cid|1508420 Thermotoga_profunda 2187612 1
cid|222805 Mycobacterium_chimaera 6328534 1
cid|727 Haemophilus_influenzae 2672708 12
cid|754476 Methylophaga_nitratireducenticrescens 3137191 1
cid|35554 Geobacter_sulfurreducens 3764200 2
cid|1379159 Dyella_jiangningensis 5396991 1
cid|208962 Escherichia_albertii 4679521 2
cid|43669 Brachybacterium_faecium 3614992 1
cid|148813 Sulfuricurvum_kujiense 2819357 1
cid|312279 Emticicia_oligotrophica 5220361 1
cid|263819 Yersinia_aleksiciae 4000307 1
cid|444103 Streptomyces_sp._CNQ-509 8039333 1
cid|390884 Echinicola_vietnamensis 5608040 1
cid|1334193 Enterobacter_lignolyticus 4814049 1
cid|1476901 Nonlabens_sp._MIC269 2884293 1
cid|488446 Burkholderia_latens 6614478 1
cid|680279 Agarivorans_gilvus 4416600 1
cid|738 [Haemophilus]_parasuis 4546750 2
cid|1560339 Enterobacter_sp._E20 4763114 1
cid|1336795 Formosa_sp._Hel3_A1_48 2016454 1
cid|1284658 Planktomarina_temperata 3288122 1
cid|220697 Thalassospira_xiamenensis 4768950 1
cid|502394 Deinococcus_gobiensis 4406036 1
cid|400668 Marinomonas_sp._MWYL1 5100344 1
cid|466153 Singulisphaera_acidiphila 9755686 1
cid|1097668 Burkholderia_sp._YI23 8896411 1
cid|372663 Isoptericola_dokdonensis 3826972 1
cid|1811193 Streptococcus_pantholopis 2241302 1
cid|1564 Desulfotomaculum_ruminis 3969014 1
cid|1526571 Lacimicrobium_alkaliphilum 4378835 1
cid|37332 Nocardia_seriolae 8304518 1
cid|28229 Colwellia_psychrerythraea 5373180 1
cid|1649184 Streptomyces_sp._CFMR_7 8307279 1
cid|1096 Chlorobium_phaeobacteroides 2935152 2
cid|823 Parabacteroides_distasonis 4811379 1
cid|692370 Altererythrobacter_dongtanensis 3009495 1
cid|1307839 bacterium_L21-Spi-D4 4812386 1
cid|249402 Cardinium_endosymbiont_of_Encarsia_pergandiella 944930 1
cid|1647413 Anabaena_sp._wa102 5782034 1
cid|1705 Corynebacterium_stationis 2853666 1
cid|915 Nitrosomonas_europaea 2812094 1
cid|84110 Slackia_heliotrinireducens 3165038 1
cid|83561 Simkania_negevensis 2628375 1
cid|1549855 Haematospirillum_jordaniae 2467625 1
cid|1536772 Paenibacillus_sp._FSL_R7-0273 7288921 1
cid|162209 Paenibacillus_naphthalenovorans 5200139 1
cid|477641 Modestobacter_marinus 5575517 1
cid|79885 Bacillus_pseudofirmus 4249248 1
cid|1795631 Variovorax_sp._PAMC_28711 4316152 1
cid|1751286 Nostoc_sp._NIES-3756 6987571 1
cid|362837 Spiroplasma_cantharicola 1179577 1
cid|1889 Streptomyces_ambofaciens 8265737 2
cid|550 Enterobacter_cloacae 10083180 7
cid|180282 Delftia_tsuruhatensis 7195716 1
cid|945 Ehrlichia_chaffeensis 1174554 8
cid|317936 Nostoc_sp._PCC_7107 6329823 1
cid|397865 Barnesiella_viscericola 3076856 1
cid|1199245 secondary_endosymbiont_of_Ctenarytaina_eucalypti 1441139 1
cid|106592 Ensifer_adhaerens 7267502 1
cid|36746 Pseudomonas_cichorii 5986012 1
cid|1768 Mycobacterium_kansasii 6489764 2
cid|46541 Thermosipho_melanesiensis 1915238 1
cid|380749 Hydrogenobaculum_sp._Y04AAS1 1559514 1
cid|357794 Psychromonas_ingrahamii 4559598 1
cid|164757 Mycobacterium_sp._JLS 6048425 1
cid|359408 Methylotenera_mobilis 2547570 1
cid|1215089 Planococcus_halocryophilus 3424893 1
cid|1379910 Rufibacter_sp._DG31D 4820793 1
cid|1855519 Sphingobium_sp._EP60837 4261696 1
cid|1814128 Streptococcus_halotolerans 2182100 1
cid|1778264 Candidatus_Mikella_endobia 352837 1
cid|79967 Erwinia_pyrifoliae 4072846 1
cid|93218 Pandoraea_apista 16769721 1
cid|35755 Corynebacterium_kutscheri 2354065 1
cid|78259 Scardovia_inopinata 1797862 1
cid|281120 Candidatus_Amoebophilus_asiaticus 1884364 1
cid|783 Rickettsia_rickettsii 1265141 9
cid|1324352 Chryseobacterium_gallinarum 4633632 1
cid|101534 Candidatus_Blochmannia_pennsylvanicus 791654 1
cid|42684 Streptomyces_collinus 8377286 1
cid|51365 Mycoplasma_yeatsii 895051 1
cid|1006576 Defluviitoga_tunisiensis 2053097 1
cid|715 Actinobacillus_pleuropneumoniae 2299903 4
cid|1916 Streptomyces_lividans 8345283 1
cid|1458426 Comamonadaceae_bacterium_B1 2623236 1
cid|48664 Xanthomonas_fragariae 8565300 1
cid|640512 Burkholderia_sp._CCGE1003 7043595 1
cid|136094 Thermocrinis_albus 1500577 1
cid|2066 Kitasatospora_setae 8783278 1
cid|103816 Rhodococcus_pyridinivorans 5590512 1
cid|1896196 Porphyrobacter_sp._LM_6 2979257 1
cid|1789224 Acinetobacter_sp._BRTC-1 3741098 1
cid|45658 Vibrio_scophthalmi 9728927 1
cid|1336794 Formosa_sp._Hel1_33_131 2735158 1
cid|29433 Moraxella_ovis 2306095 1
cid|1348114 Pseudoalteromonas_sp._OCN003 4815987 1
cid|1156433 Streptococcus_sp._I-P16 2023580 1
cid|200991 Planococcus_rifietoensis 3505011 1
cid|239935 Akkermansia_muciniphila 2704687 2
cid|2371 Xylella_fastidiosa 2609554 7
cid|1410383 Candidatus_Tachikawaea_gelatinosa 708439 1
cid|35799 Nitrosospira_briensis 3210113 1
cid|1715860 Staphylococcus_sp._AntiMn-1 2738396 1
cid|321327 Synechococcus_sp._JA-3-3Ab 2932766 1
cid|2426 Teredinibacter_turnerae 5193164 1
cid|189426 Paenibacillus_odorifer 6812473 1
cid|1096856 Pseudonocardia_sp._EC080619-01 7205934 1
cid|409322 Treponema_pedis 2889325 1
cid|446692 Acetobacter_senegalensis 3969909 1
cid|1785996 Leptotrichia_sp._oral_taxon_847 2194935 1
cid|83617 Stenotrophomonas_nitritireducens 4541729 1
cid|1547445 Francisella_sp._FSC1006 2015987 1
cid|296 Pseudomonas_fragi 5101809 1
cid|59930 Cyanobium_gracile 3342364 1
cid|43305 Butyrivibrio_proteoclasticus 4404886 1
cid|419475 Ochrobactrum_pseudogrignonense 4992805 1
cid|256618 Parvibaculum_lavamentivorans 3914745 1
cid|1176587 Niabella_ginsenosidivorans 5627734 1
cid|82985 Pragia_fontium 4094629 1
cid|1581 Lactobacillus_buchneri 2575738 2
cid|65123 Mycoplasma_wenyonii 650228 1
cid|672 Vibrio_vulnificus 10215744 4
cid|46429 Sphingobium_chlorophenolicum 4573221 1
cid|1157948 Thermotoga_sp._2812B 1843731 1
cid|147268 Thioalkalimicrobium_cyclicum 1932455 1
cid|2107 Mycoplasma_pulmonis 963879 1
cid|39960 Erythrobacter_litoralis 3151875 2
cid|1491 Clostridium_botulinum 4637504 16
cid|1870930 Enterobacter_cloacae_complex_sp._35734 5276896 1
cid|61646 Lelliottia_amnigena 4616371 1
cid|730 [Haemophilus]_ducreyi 10121291 2
cid|272131 Nostoc_punctiforme 9059191 1
cid|1652495 Corynebacterium_sp._JZ16 3217288 1
cid|114186 Candidatus_Carsonella_ruddii 157543 1
cid|43657 Pseudoalteromonas_luteoviolacea 18666577 1
cid|585 Proteus_vulgaris 3794983 1
cid|39768 Blattabacterium_sp._(Mastotermes_darwiniensis) 590336 1
cid|1281 Staphylococcus_carnosus 2605765 2
cid|732 Aggregatibacter_aphrophilus 3520359 2
cid|24 Shewanella_putrefaciens 4749735 2
cid|104 Cyclobacterium_marinum 6221273 1
cid|1905288 Klebsiella_sp._LTGPAF-6F 6790399 1
cid|40137 Oligotropha_carboxidovorans 5740737 2
cid|76860 Streptococcus_constellatus 1954077 3
cid|1156431 Streptococcus_sp._I-G2 1992567 1
cid|143361 Filifactor_alocis 1931012 1
cid|880 Desulfovibrio_salexigens 4289847 1
cid|314275 Alteromonas_mediterranea 5274170 7
cid|89184 Ruegeria_pomeroyi 4601048 1
cid|1283291 Pseudomonas_sp._URMO17WK12:I11 11209782 1
cid|161360 Planococcus_antarcticus 3804624 1
cid|1727164 Pedobacter_sp._PACM_27299 6147290 1
cid|1888195 Streptococcus_himalayensis 2275471 1
cid|1497 Clostridium_formicaceticum 4586755 1
cid|1711 Cellulomonas_flavigena 4123179 1
cid|398 Rhizobium_tropici 6686334 1
cid|69395 Caulobacter_henricii 3957288 1
cid|300825 Bacillus_lehensis 3993073 1
cid|38305 Corynebacterium_vitaeruminis 2931780 1
cid|105219 Ralstonia_mannitolilytica 9915295 1
cid|93222 Pandoraea_sputorum 5751958 1
cid|46234 Anabaena_sp._90 5305675 1
cid|1420917 Marinobacter_salarius 4616532 1
cid|29518 Borreliella_afzelii 1151622 4
cid|60480 Shewanella_sp._MR-4 4706287 1
cid|33964 Leuconostoc_citreum 1896614 1
cid|1842540 Methyloversatilis_sp._RAC08 3937190 1
cid|1255 Pediococcus_pentosaceus 1817384 3
cid|89154 Corynebacterium_terpenotabidum 2751233 1
cid|1852 Saccharomonospora_viridis 4308349 1
cid|1348 Streptococcus_parauberis 2143887 1
cid|994692 Candidatus_Kinetoplastibacterium_desouzaii 833125 1
cid|398743 Zunongwangia_profunda 5128187 1
cid|1329899 Cycloclasticus_zancles 2655425 1
cid|1193095 Lactobacillus_hokkaidonensis 2400586 1
cid|221027 Treponema_putidum 2800562 1
cid|715451 Alteromonas_naphthalenivorans 4972148 1
cid|54291 Raoultella_ornithinolytica 13911666 2
cid|1868135 Enterobacter_sp._HK169 4551186 1
cid|703 Plesiomonas_shigelloides 3405979 1
cid|37919 Rhodococcus_opacus 8880502 3
cid|1810 Mycobacterium_vaccae 6235754 1
cid|471827 Candidatus_Desulforudis_audaxviator 2349476 1
cid|1487956 Corynebacterium_sp._ATCC_6931 2471920 1
cid|29488 Photorhabdus_luminescens 5688987 1
cid|298654 Frankia_inefficax 8815781 1
cid|83655 Leclercia_adecarboxylata 4803917 1
cid|535712 Candidatus_Rhodoluna_planktonica 1424506 1
cid|187101 Sneathia_amnii 1330224 1
cid|1609981 Verrucomicrobia_bacterium_L21-Fru-AB 2949723 1
cid|1336 Streptococcus_equi 2140495 5
cid|649841 Sulfuricella_denitrificans 3217213 1
cid|528244 Azospirillum_thiophilum 7609458 1
cid|1796613 Bacteroides_sp._I48 4839918 1
cid|1288970 Magnetospira_sp._QH-2 4052370 1
cid|759620 Weissella_ceti 4135763 1
cid|37927 Sinomonas_atrocyanea 4492204 1
cid|407035 Salinicoccus_halodurans 2778379 1
cid|158899 Collimonas_fungivorans 5393313 2
cid|1038856 Planococcus_plakortidis 3261818 1
cid|1690815 Pseudonocardia_sp._HH130630-07 6680451 1
cid|40269 Aliivibrio_salmonicida 4655660 1
cid|576611 Polynucleobacter_asymbioticus 2159490 1
cid|1684 Bifidobacterium_asteroides 2167304 1
cid|1340425 Geobacter_anodireducens 3666014 1
cid|147709 Carnobacterium_inhibens 2497115 1
cid|38300 Streptomyces_pristinaespiralis 8532592 1
cid|33910 Amycolatopsis_mediterranei 13655759 3
cid|1076 Rhodopseudomonas_palustris 5408501 7
cid|219572 Pseudomonas_antarctica 6607040 1
cid|1421 Lysinibacillus_sphaericus 14371778 1
cid|1226968 Azospirillum_humicireducens 3181617 1
cid|108150 Thermoanaerobacter_italicus 2451061 1
cid|1584 Lactobacillus_delbrueckii 1920382 5
cid|666685 Rhodanobacter_denitrificans 4225490 1
cid|1620392 Spongiibacter_sp._IMCC21906 3481669 1
cid|83555 Chlamydia_abortus 2288889 2
cid|387092 Nitratiruptor_sp._SB155-2 1877931 1
cid|387093 Sulfurovum_sp._NBC37-1 2562277 1
cid|1570 Halobacillus_halophilus 4170008 1
cid|1490052 Anoxybacillus_sp._B2M1 3819480 1
cid|884684 Mageeibacillus_indolicus 1809746 1
cid|1611770 Pseudomonas_sp._MRSN12121 6986763 1
cid|1699622 Psychrobacter_sp._P2G3 3366617 1
cid|585423 Synechococcus_sp._KORDI-49 2585813 1
cid|53461 Nakamurella_multipartita 6060298 1
cid|1641402 Pseudonocardia_sp._HH130629-09 6300975 1
cid|168697 Salinispora_arenicola 5786361 1
cid|2105 Mycoplasma_leachii 1008951 1
cid|552 Erwinia_amylovora 3869718 2
cid|1389192 Cupriavidus_sp._USMAHM13 7820821 1
cid|1282 Staphylococcus_epidermidis 3296362 4
cid|332056 Sphingobium_japonicum 4424862 1
cid|120576 Brucella_pinnipedialis 3365148 2
cid|305 Ralstonia_solanacearum 11186335 4
cid|413882 [Polyangium]_brachysporum 6476147 1
cid|1231 Nitrosospira_multiformis 3234309 1
cid|2095 Mycoplasma_capricolum 1692864 3
cid|1613 Lactobacillus_fermentum 2108824 5
cid|1406 Paenibacillus_polymyxa 6883167 6
cid|271 Thermus_aquaticus 2338641 1
cid|712122 Actinomyces_sp._oral_taxon_414 3836419 1
cid|84531 Lysobacter_antibioticus 11681564 1
cid|186189 Xylanimonas_cellulosilytica 3831380 1
cid|482957 Burkholderia_lata 17031116 1
cid|632773 Bacillus_beveridgei 3582268 1
cid|139 Borreliella_burgdorferi 1329613 5
cid|184064 Thermodesulfobium_narugense 1898865 1
cid|28262 Thermodesulfovibrio_yellowstonii 2003803 1
cid|1678129 Limnohabitans_sp._103DPR2 2948795 1
cid|166501 Thermobaculum_terrenum 3101581 1
cid|1437453 Streptomyces_leeuwenhoekii 8122491 1
cid|712710 Tannerella_sp._oral_taxon_HOT-286 2973531 1
cid|1324350 Acinetobacter_equi 3054269 1
cid|716 Actinobacillus_suis 2501598 1
cid|28031 Lysinibacillus_fusiformis 4843789 1
cid|1531429 Coriobacteriaceae_bacterium_68-1-3 1967093 1
cid|55206 Sediminispirochaeta_smaragdinae 4653970 1
cid|310783 Deinococcus_deserti 3855329 1
cid|1892404 Bacillus_sp._ABP14 5152566 1
cid|55148 Deinococcus_proteolyticus 2886836 1
cid|1536775 Paenibacillus_sp._FSL_H7-0737 6765883 1
cid|762954 Siansivirga_zeaxanthinifaciens 3303986 1
cid|37636 Thermus_scotoductus 2355186 1
cid|881 Desulfovibrio_vulgaris 3802302 4
cid|316278 Synechococcus_sp._RCC307 2224914 1
cid|1526927 Planococcus_sp._PAMC_21323 3199864 1
cid|304895 Catenulispora_acidiphila 10467782 1
cid|61647 Pluralibacter_gergoviae 5489680 1
cid|2296 Desulfobacterium_autotrophicum 5657782 1
cid|2110 Mycoplasma_agalactiae 942070 2
cid|102116 Stanieria_cyanosphaera 5544990 1
cid|497724 Campylobacter_subantarcticus 1817765 2
cid|430522 Pedobacter_steynii 6581659 1
cid|329 Ralstonia_pickettii 6378979 3
cid|1902 Streptomyces_coelicolor 9054847 1
cid|1379909 Rufibacter_sp._DG15C 4143738 1
cid|1866 Actinoplanes_missouriensis 8773466 1
cid|2115 Mycoplasma_fermentans 1048137 2
cid|212663 Vibrio_tasmaniensis 4974818 1
cid|1556 Gottschalkia_acidurici 3108248 1
cid|155322 Bacillus_toyonensis 5025419 1
cid|407020 Sphingobium_sp._MI1205 4619375 1
cid|1245 Leuconostoc_mesenteroides 1966146 5
cid|1752064 Leptolyngbya_sp._NIES-3755 6761657 1
cid|338565 Erwinia_tasmaniensis 4067864 1
cid|40754 Thioploca_ingrica 4810005 1
cid|1297617 Intestinimonas_butyriciproducens 3376475 1
cid|1727163 Algoriphagus_sp._M8-2 3882610 1
cid|366602 Caulobacter_sp._K31 5889399 1
cid|84022 Clostridium_aceticum 4207037 1
cid|1006 Marivirga_tractuosa 4516490 1
cid|330734 Marinobacter_psychrophilus 3998597 1
cid|190721 Ralstonia_insidiosa 12164766 1
cid|119206 Aerococcus_sanguinicola 2033849 1
cid|156978 Corynebacterium_imitans 2565321 1
cid|533 Beijerinckia_indica 4418616 1
cid|1223514 Corynebacterium_humireducens 2681312 1
cid|69328 Pseudomonas_sp._VLB120 5966222 1
cid|32051 Synechococcus_sp._WH_7803 2366980 1
cid|263 Francisella_tularensis 2777166 24
cid|1823759 Desulfuromonas_sp._DDH964 3924652 1
cid|208226 Alkaliphilus_metalliredigens 4929566 1
cid|100716 Chloroherpeton_thalassium 3293456 1
cid|33905 Bifidobacterium_thermophilum 2291643 1
cid|234827 Candidatus_Midichloria_mitochondrii 1183732 1
cid|1486991 Candidatus_Sodalis_pierantonius 4513140 1
cid|28068 Rubrivivax_gelatinosus 5043253 1
cid|380021 Pseudomonas_protegens 6923588 3
cid|57975 Burkholderia_thailandensis 9210179 11
cid|562 Escherichia_coli 12319210 84
Cloning_vector_pIJ6902
Cloning_vector_pKF-VH
Cloning_vector_pKF-VL
Cloning_vector_pKF-SC
Cloning_vector_pUDSC-B
Cloning_vector_pG002
Cloning_vector_pGEM-1
Cloning_vector_pGEM-13Zf(+)
Cloning_vector_pGEM-luc
Cloning_vector_pEMBL+_DNA.
Cloning_vector_pJRD178_DNA.
Cloning_vector_pBRcro434.
Cloning_vector_pSU2718_DNA.
Cloning_vector_pBeloBAC11.
Plasmid_pMK20_cloning_vector
Cloning_vector_pGEM-3
Cloning_vector_pGEM-7Zf(+)
Cloning_vector_pSP70
Cloning_vector_PSET152
Cloning_vector_pZeRO-2T
Cloning_vector_pJH015_public
Cloning_vector_pJH034_public
Cloning_vector_pPD18.32.
Cloning_vector_pPD22.11.
Cloning_vector_pPD34.110.
pSV2-Cat_cloning_vector.
Cloning_vector_pDEX00
Cloning_vector_pSAWloxP-K
Cloning_vector_pNarX_optHs
Cloning_vector_pEM017_public
Artificial_cloning_vector_pMAMPF.
Cloning_vector_pPD21.28.
Cloning_vector_pPD26.77.
Cloning_vector_pGEM-4
Cloning_vector_pCAT-Enhancer
Cloning_vector_pSP64_(polyA)
Cloning_vector_pSP71
Cloning_vector_pBHR1
Cloning_vector_pZEL
Cloning_vector_pJH027_public
Cloning_vector_pEM014_public
Cloning_vector_pEM019_public
Cloning_vector_pJRD17_DNA.
Cloning_vector_pJRD187Kc_DNA.
Cloning_vector_pJC1
Cloning_vector_pGEM-7Zf(-)
Cloning_vector_pGEM-9Zf(-)
Cloning_vector_pGEM-11Zf(+)
Cloning_vector_pGEMEX-1
Cloning_vector_pGEMEX-2
Cloning_vector_pRG930cm
Cloning_vector_pTUY1H
Cloning_vector_M13mp18
Cloning_vector_pGEM-5Zf(+)
Cloning_vector_pBRINT-TsGm
Cloning_vector_pBRINT-TsKm
Binary_Cloning_vector_pAC161
Cloning_vector_pGWLuc
Cloning_vector_pG004
Cloning_vector_pPD1.27.
Cloning_vector_pOmpR_optHs
Cloning_vector_pPD8.33.
Cloning_vector_RSV3.
Cloning_vector_pBRINT-TsCm
Cloning_vector_pRAY-Cre
Cloning_vector_pOmpR_optHs_D55E
Cloning_vector_pJH008_public
Cloning_vector_pJH019_public
Cloning_vector_pEM015_public
Cloning_vector_pBAC108L.
Cloning_vector_pG003
Cloning_vector_pNIC-NHS
Cloning_vector_pNarL_optHs
Cloning_vector_pJH007_public
Cloning_vector_pJH018_public
Cloning_vector_pEM013_public
Cloning_vector_pEM016_public
Cloning_vector_PSU2719_DNA.
Cloning_vector_pGEM-3Z
Cloning_vector_pGEM-5Zf(-)
Cloning_vector_pGEM-11Zf(-)
Cloning_vector_pCAT-Promoter
Cloning_vector_pGL2-Enhancer
Cloning_vector_pSP72
Cloning_vector_pBRINTs-Gen4
Cloning_vector_pKIL194T
Cloning_vector_pTarg2
Cloning_vector_pDXA-3strep
Cloning_vector_pPD22.04.
Cloning_vector_pPD16.01.
Cloning_vector_pJH020_public
Cloning_vector_pCPT9.
Cloning_vector_pCQV2_DNA.
Cloning_vector_pJRD187.
Cloning_vector_pAM34.
Cloning_vector_pEH1
Cloning_vector_pGEM-3Zf(-)
Cloning_vector_pGL2-Basic
Artificial_cloning_vector_pjb8
Artificial_cloning_vector_LoristB
Cloning_vector_pKG1M
Cloning_vector_pUvBBAC
Cloning_vector_pDXA-3hygro
Cloning_vector_pDXA-CFP
Cloning_vector_pEM018_public
Cloning_vector_pJRD179_DNA.
Cloning_vector_pGL2-Control
Cloning_vector_pBRINTs-Cat2
Cloning_vector_pBRINTs-Kan2
Cloning_vector_pDXA-3FLAG
Cloning_vector_pDXA-GST
Cloning_vector_pZEA
Cloning_vector_pG001
Cloning_vector_pTAL7A
Cloning_vector_pTAL7B
Cloning_vector_pJH025_public
Cloning_vector_pPD16.51.
Cloning_vector_pGEM-3Zf(+)
Cloning_vector_pCAT-Control
Cloning_vector_pCAT-Basic
Cloning_vector_pGL2-Promoter
Cloning_vector_pCCR9
Cloning_vector_pIJ6021
Cloning_vector_pKIL194
Cloning_vector_pTarg1
Cloning_vector_PBAC-RT
Cloning_vector_pEnvZ_optHs
Cloning_vector_pJH022_public
Cloning_vector_pPD16.43.
Cloning_vector_pEH3
Cloning_vector_pGEM-2
Cloning_vector_pGEM-4Z
Cloning_vector_pSP64
Cloning_vector_pSP65
Cloning_vector_pSP73
Cloning_vector_pBHRK19
Cloning_vector_pBHRK18
Cloning_vector_pDXA-yFP
Cloning_vector_pGID052
Cloning_vector_pJH009_public
Cloning_vector_pJH035_public
Cloning_vector_pEM012_public
Synthetic_cloning_vector_DNA.
Cloning_vector_pPD8.02.
Synthetic_cloning_vector_DNA.
Cloning_vector_pOT1
Cloning_vector_pEX2
Cloning_vector_M13JN72_containing_mutliple_cloning_site.
Cloning_vector_pKP497,_complete_sequence.
Cloning_vector_pr8a
Cloning_vector_pPW78
Cloning_vector_pGHABI3GWG
Cloning_vector_pMKE1,_partial
Cloning_Vector_pGreen
Cloning_vector_pG006
Cloning_vector_pGIU2
Cloning_vector_pZEU
Cloning_vector_pGIL1
Cloning_vector_pIV10
Cloning_vector_pGRL2
Cloning_vector_pGIU3
Cloning_vector_pGRU1
Cloning_vector_pGRU3
Cloning_vector_pGIU1
Cloning_vector_pGIL2
Cloning_vector_pGIL3
Cloning_vector_pEUKA11
Cloning_vector_pGRU2
Cloning_vector_pGRL1
Cloning_vector_pGRL3
Cloning_vector_pIMK
Cloning_vector_pG005
BlueScribe_cloning_vector.
Cloning_vector_pTARBAC6,_complete_sequence.
Cloning_vector_pLvCmvMyocardin.Gfp,_complete_sequence.
Cloning_vector_pRPGSM,_complete_sequence.
Cloning_vector_pIPKTA30N,_complete_sequence.
Cloning_vector_pCPP5209,_complete_sequence.
Cloning_vector_pCPP5212,_complete_sequence.
Cloning_vector_JSC,_complete_sequence.
Cloning_vector_pAW32,_complete_sequence.
Cloning_vector_pFOSKAN,_complete_sequence.
Cloning_vector_pE3n,_complete_sequence.
Cloning_vector_pE5n,_complete_sequence.
Cloning_vector_pMQ118,_complete_sequence.
Cloning_vector_pMQ125,_complete_sequence.
Cloning_vector_pMQ123,_complete_sequence.
Cloning_vector_pAW8_6XHis,_complete_sequence.
Cloning_vector_pRGK374,_complete_sequence.
Cloning_vector_pMQ156,_complete_sequence.
Cloning_vector_pHC91,_complete_sequence.
Cloning_vector_pHC36,_complete_sequence.
Cloning_vector_pHC68,_complete_sequence.
Cloning_vector_pHC82,_complete_sequence.
Cloning_vector_pOpt_mCerulean3_Paro,_complete_sequence.
Cloning_vector_pOpt_mVenus_Hyg,_complete_sequence.
Cloning_vector_pOpt_mCerulean3_Hyg,_complete_sequence.
Cloning_vector_pPLV05_v2,_complete_sequence.
Cloning_vector_pPLV06_v2,_complete_sequence.
Cloning_vector_pT7_RL1,_complete_sequence.
Cloning_vector_pCK905,_complete_sequence.
Cloning_vector_pCK907,_complete_sequence.
Cloning_vector_pCK909,_complete_sequence.
Cloning_vector_pCK911,_complete_sequence.
Cloning_vector_pLG338,_complete_sequence.
Cloning_vector_pDONRpEX18Ap,_complete_sequence.
Cloning_vector_pFF530,_complete_sequence.
Cloning_vector_pYC121,_complete_sequence.
Cloning_vector_pVK9PtacMuAB,_complete_sequence.
Cloning_vector_pJF870,_complete_sequence.
Cloning_vector_pPIPRA728,_complete_sequence.
Cloning_vector_pPIPRA726,_complete_sequence.
Cloning_vector_pTpPuc3,_complete_sequence.
Cloning_vector_pNZ11,_complete_sequence.
Cloning_vector_pMU1647,_complete_sequence.
Cloning_vector_pAmin78,_complete_sequence.
Cloning_vector_pJC126b,_complete_sequence.
Cloning_vector_pBAM1,_complete_sequence.
Cloning_vector_LUCTRAP,_complete_sequence.
Cloning_vector_pPLV11,_complete_sequence.
Cloning_vector_pPLV12,_complete_sequence.
Cloning_vector_pPLV18,_complete_sequence.
Cloning_vector_pAB707,_complete_sequence.
Cloning_vector_pMA_F3RoxNeoRoxLoxPFR,_complete_sequence.
Cloning_vector_pWH1274,_complete_sequence.
Cloning_vector_pRLYC9,_complete_sequence.
Cloning_vector_pRLYE2,_complete_sequence.
Cloning_vector_pRLYT8,_complete_sequence.
Cloning_vector_pRLBC3,_complete_sequence.
Cloning_vector_pLEMY,_complete_sequence.
Cloning_vector_pURYL,_complete_sequence.
Cloning_vector_pLMB51,_complete_sequence.
Cloning_vector_SBa_000559,_complete_sequence.
Cloning_vector_pBGGT,_complete_sequence.
Cloning_vector_pSOL9LHGRC,_complete_sequence.
Cloning_vector_OX3402,_complete_sequence.
Cloning_vector_pJW3,_complete_sequence.
Cloning_vector_pTJ1,_complete_sequence.
Cloning_vector_pSEVA311,_complete_sequence.
Cloning_vector_pSEVA351,_complete_sequence.
Cloning_vector_pSEVA411,_complete_sequence.
Cloning_vector_pSEVA431,_complete_sequence.
Cloning_vector_pSEVA441,_complete_sequence.
Cloning_vector_pSEVA451,_complete_sequence.
Cloning_vector_pSEVA142,_complete_sequence.
Cloning_vector_pSEVA242,_complete_sequence.
Cloning_vector_pSEVA243,_complete_sequence.
Cloning_vector_pSEVA333,_complete_sequence.
Cloning_vector_pJC8,_complete_sequence.
Cloning_vector_pBCSMH031,_complete_sequence.
Cloning_vector_pKIKOarsBCm,_complete_sequence.
Cloning_vector_pEBM102,_complete_sequence.
Cloning_vector_pGRB2.0,_complete_sequence.
